"RvNumber"	"Mtnumber"	"Gene_Symbol"	"Gene_Description"
"Rv1418"	"MT1461"	"lprH"	"lipoprotein"
"Rv1419"	"MT1462"	"Rv1419"	"hypothetical protein"
"Rv1420"	"MT1463"	"uvrC"	"excinuclease ABC subunit C"
"Rv1421"	"MT1464"	"Rv1421"	"conserved hypothetical protein"
"Rv1422"	"MT1465"	"Rv1422"	"conserved hypothetical protein"
"Rv1423"	"MT1466"	"Rv1423"	"putative transcriptional regulator"
"Rv1424c;Rv1424c"	NA	NA	NA
"Rv1425"	"MT1468"	"Rv1425"	"conserved hypothetical protein"
"Rv1426c"	"MT1469"	"lipO"	"probable esterase"
"Rv1427c"	"MT1470"	"fadD12"	"acyl-CoA synthase"
"Rv1428c"	"MT1471"	"Rv1428c"	"conserved hypothetical protein"
"Rv1429"	"MT1472"	"Rv1429"	"conserved hypothetical protein"
"Rv1430"	"MT1474"	"PE"	"PE-family protein"
"Rv1431"	"MT1475"	"Rv1431"	"possible transporter"
"Rv1432"	"MT1476"	"Rv1432"	"putative dehydrogenase"
"Rv1433"	"MT1477"	"Rv1433"	"possible membrane protein"
"Rv1434"	NA	"Rv1434"	"hypothetical protein"
"Rv1435c"	"MT1479"	"Rv1435c"	"conserved hypothetical protein"
"Rv1436;Rv1436;Rv1436;Rv1436;Rv1436;Rv1436;Rv1436;Rv1436;Rv1436"	NA	NA	NA
"Rv1437"	NA	"pgk"	"phosphoglycerate kinase"
"Rv1438"	"MT1482"	"tpi"	"triosephosphate isomerase"
"Rv1439c"	"MT1484"	"Rv1439c"	"hypothetical protein"
"Rv1440"	NA	"secG"	"protein-export membrane protein SecG"
"Rv1441c"	"MT1486"	"PE_PGRS"	"PE_PGRS-family protein"
"Rv1442"	"MT1487"	"bisC"	"biotin sulfoxide reductase"
"Rv1443c"	"MT1489"	"Rv1443c"	"hypothetical protein"
"Rv1444c"	"MT1491"	"Rv1444c"	"hypothetical protein"
"Rv1445c"	"MT1492"	"devB"	"glucose-6-phosphate 1-dehydrogenase"
"Rv1446c"	"MT1493"	"opcA"	"unknown function, may aid G6PDH"
"Rv1447c"	"MT1494"	"zwf2"	"glucose-6-phosphate 1-dehydrogenase"
"Rv1448c"	"MT1495"	"tal"	"transaldolase"
"Rv1449c"	"MT1496"	"tkt"	"transketolase"
"Rv1450c;Rv1450c"	NA	NA	NA
"Rv1451"	"MT1498"	"ctaB"	"cytochrome c oxidase assembly factor"
"Rv1452c;Rv1452c"	NA	NA	NA
"Rv1453"	NA	"Rv1453"	"conserved hypothetical protein"
"Rv1454c"	"MT1501"	"qor"	"Probable quinone oxidoreductase"
"Rv1455"	"MT1502"	"Rv1455"	"conserved hypothetical protein"
"Rv1456c"	"MT1503"	"Rv1456c"	"probable membrane protein"
"Rv1457c"	"MT1504"	"Rv1457c"	"probable membrane protein"
"Rv1458c"	NA	"Rv1458c"	"ABC-type transporter"
"Rv1459c"	"MT1506"	"Rv1459c"	"conserved hypothetical protein"
"Rv1460"	"MT1507"	"Rv1460"	"putative transcriptional regulator"
"Rv1461"	"MT1508"	"Rv1461"	"conserved hypothetical protein"
"Rv1462"	NA	"Rv1462"	"conserved hypothetical protein"
"Rv1463"	"MT1510"	"Rv1463"	"ABC-type transporter"
"Rv1464"	"MT1511"	"Rv1464"	"NifS-like protein"
"Rv1465"	"MT1512"	"Rv1465"	"conserved hypothetical protein"
"Rv1466"	"MT1513"	"Rv1466"	"conserved hypothetical protein"
"Rv1467c"	"MT1514"	"fadE15"	"acyl-CoA dehydrogenase"
"Rv1468c"	"MT1514.1"	"PE_PGRS"	"PE_PGRS-family protein"
"Rv1469"	"MT1515"	"ctpD"	"probable cadmium-transporting ATPase"
"Rv1470"	"MT1516"	"trxA"	"thioredoxin"
"Rv1471"	"MT1517"	"trxB"	"thioredoxin reductase"
"Rv1472"	"MT1518"	"echA12"	"enoyl-CoA hydratase/isomerase superfamily"
"Rv1473"	"MT1519"	"Rv1473"	"ABC transporter, possible in EF-3 subfamily"
"Rv1474c"	"MT1521"	"Rv1474c"	"transcriptional regulator (TetR/AcrR family)"
"Rv1475c"	"MT1522"	"acn"	"aconitate hydratase"
"Rv1476"	"MT1523"	"Rv1476"	"hypothetical protein"
"Rv1477"	"MT1524"	"Rv1477"	"putative exported p60 protein homologue"
"Rv1478"	NA	"Rv1478"	"putative exported p60 protein homologue"
"Rv1479"	"MT1526"	"moxR"	"transcriptional regulator, MoxR homologue"
"Rv1480"	"MT1527"	"Rv1480"	"conserved hypothetical protein"
"Rv1481"	"MT1528"	"Rv1481"	"possible membrane protein"
"Rv1482c"	"MT1529"	"Rv1482c"	"conserved hypothetical protein"
"Rv1483"	"MT1530"	"fabG1"	"3-oxoacyl-[ACP] reductase (aka MabA)"
"Rv1484"	"MT1531"	"inhA"	"enoyl-[ACP] reductase"
"Rv1485"	"MT1532"	"hemZ"	"ferrochelatase"
"Rv1486c;Rv1486c"	NA	NA	NA
"Rv1487"	NA	"Rv1487"	"conserved hypothetical protein"
"Rv1488"	"MT1533.2"	"Rv1488"	"conserved hypothetical protein"
"Rv1489c"	NA	"Rv1489c"	"hypothetical protein"
"Rv1490"	"MT1536"	"Rv1490"	"unknown putative membrane protein"
"Rv1491c"	"MT1538"	"Rv1491c"	"probable membrane protein"
"Rv1492"	"MT1539"	"mutA"	"methylmalonyl-CoA mutase, [beta] subunit"
"Rv1493"	"MT1540"	"mutB"	"methylmalonyl-CoA mutase, [alpha] subunit"
"Rv1494"	"MT1541"	"Rv1494"	"hypothetical protein"
"Rv1495"	"MT1542"	"Rv1495"	"conserved hypothetical protein"
"Rv1496"	NA	"Rv1496"	"conserved hypothetical protein"
"Rv1497"	"MT1545"	"lipL"	"esterase"
"Rv1498c"	"MT1546"	"Rv1498c"	"methyltransferase"
"Rv1499"	"MT1548"	"Rv1499"	"hypothetical protein"
"Rv1500"	"MT1549"	"Rv1500"	"similarity to B. subtilis glycosyltransferase"
"Rv1501"	"MT1550"	"Rv1501"	"conserved hypothetical protein"
"Rv1502"	"MT1551"	"Rv1502"	"hypothetical protein"
"Rv1503c"	"MT1552"	"Rv1503c"	"conserved hypothetical protein"
"Rv1504c"	"MT1552"	"Rv1504c"	"conserved hypothetical protein"
"Rv1505c"	"MT1553"	"Rv1505c"	"conserved hypothetical protein"
"Rv1506c"	"MT1554"	"Rv1506c"	"hypothetical protein"
"Rv1507c"	"MT1555"	"Rv1507c"	"hypothetical protein"
"Rv1508c"	"MT1556"	"Rv1508c"	"probable membrane protein"
"Rv1509"	"MT1557"	"Rv1509"	"hypothetical protein"
"Rv1510;Rv1510"	NA	NA	NA
"Rv1511"	"MT1561"	"gmdA"	"GDP-mannose 4,6 dehydratase"
"Rv1512"	"MT1562"	"epiA"	"nucleotide sugar epimerase"
"Rv1513"	"MT1563"	"Rv1513"	"conserved hypothetical protein"
"Rv1514c"	"MT1564"	"Rv1514c"	"involved in polysaccharide synthesis"
"Rv1515c"	"MT1565"	"Rv1515c"	"conserved hypothetical protein"
"Rv1516c"	"MT1566"	"Rv1516c"	"probable glucosyltransferase"
"Rv1517"	"MT1567"	"Rv1517"	"conserved hypothetical protein"
"Rv1518"	"MT1568"	"Rv1518"	"involved in exopolysaccharide synthesis"
"Rv1519"	"MT1569"	"Rv1519"	"conserved hypothetical protein"
"Rv1520"	"MT1570"	"Rv1520"	"glycosyltransferase"
"Rv1521"	"MT1572"	"fadD25"	"acyl-CoA synthase"
"Rv1522c"	"MT1573"	"mmpL12"	"conserved large membrane protein"
"Rv1523"	"MT1574"	"Rv1523"	"possible methyl-sterol transferase"
"Rv1524"	"MT1575"	"Rv1524"	"possible rhamnosyl/glycosyl transferase"
"Rv1525"	"MT1576"	"wbbl2"	"dTDP-rhamnosyl transferase"
"Rv1526c"	"MT1577"	"Rv1526c"	"possible rhamnosyl/glycosyl transferase"
"Rv1527c"	"MT1578"	"pks5"	"polyketide synthase"
"Rv1528c"	"MT1579"	"papA4"	"PKS-associated protein, unknown function"
"Rv1529"	"MT1580"	"fadD24"	"acyl-CoA synthase"
"Rv1530"	"MT1581"	"adh"	"alcohol dehydrogenase (Zn)"
"Rv1531"	"MT1582"	"Rv1531"	"conserved hypothetical protein"
"Rv1532c"	"MT1583"	"Rv1532c"	"conserved hypothetical protein"
"Rv1533"	"MT1584"	"Rv1533"	"probable dioxygenase"
"Rv1534"	"MT1585"	"Rv1534"	"transcriptional regulator (TetR/AcrR family)"
"Rv1535"	"MT1586"	"Rv1535"	"hypothetical protein"
"Rv1536"	"MT1587"	"ileS"	"isoleucyl-tRNA synthase"
"Rv1537"	"MT1589"	"dinX"	"probable DNA-damage-inducible protein"
"Rv1538c"	"MT1590"	"ansA"	"L-asparaginase"
"Rv1539"	"MT1591"	"lspA"	"lipoprotein signal peptidase"
"Rv1540"	"MT1592"	"Rv1540"	"conserved hypothetical protein"
"Rv1541c"	"MT1593"	"lprI"	"lipoprotein"
"Rv1542c"	"MT1594"	"glbN"	"hemoglobin-like, oxygen carrier"
"Rv1543"	NA	"Rv1543"	"probable fatty-acyl CoA reductase"
"Rv1544"	"MT1596"	"Rv1544"	"probable ketoacyl reductase"
"Rv1545"	NA	"Rv1545"	"hypothetical protein"
"Rv1546"	"MT1597"	"Rv1546"	"conserved hypothetical protein"
"Rv1547"	"MT1598"	"dnaE1"	"DNA polymerase III, [alpha] subunit"
"Rv1548c"	"MT1599"	"PPE"	"PPE-family protein"
"Rv1549"	NA	"fadD11 "	"acyl-CoA synthase, C-term"
"Rv1550"	"MT1600"	"fadD11"	"acyl-CoA synthase, N-term"
"Rv1551"	"MT1601"	"plsB1"	"glycerol-3-phosphate acyltransferase"
"Rv1552"	"MT1603"	"frdA"	"fumarate reductase flavoprotein subunit"
"Rv1553"	"MT1604"	"frdB"	"fumarate reductase iron sulphur protein"
"Rv1554"	"MT1605"	"frdC"	"fumarate reductase 15kD anchor protein"
"Rv1555"	NA	"frdD"	"fumarate reductase 13kD anchor protein"
"Rv1556"	"MT1607"	"Rv1556"	"putative transcriptional regulator"
"Rv1557"	"MT1608"	"mmpL6"	"conserved large membrane protein"
"Rv1558"	"MT1609"	"Rv1558"	"conserved hypothetical protein"
"Rv1559"	"MT1610"	"ilvA"	"threonine deaminase"
"Rv1560"	"MT1611"	"Rv1560"	"conserved hypothetical protein"
"Rv1561"	NA	"Rv1561"	"conserved hypothetical protein"
"Rv1562c"	"MT1613"	"glgZ"	"maltooligosyltrehalose trehalohydrolase"
"Rv1563c"	"MT1614"	"glgY"	"putative [alpha]-amylase"
"Rv1564c"	"MT1615"	"glgX"	"probable glycogen debranching enzyme"
"Rv1565c"	"MT1616"	"Rv1565c"	"Unknown membrane protein"
"Rv1566c"	"MT1617"	"Rv1566c"	"putative exported p60 protein homologue"
"Rv1567c"	"MT1618"	"Rv1567c"	"hypothetical protein"
"Rv1568"	"MT1619"	"bioA"	"adenosylmethionine-8-amino-7-oxononanoate"
"Rv1569"	"MT1620"	"bioF"	"8-amino-7-oxononanoate synthase"
"Rv1570"	"MT1621"	"bioD"	"dethiobiotin synthase"
"Rv1571"	"MT1622"	"Rv1571"	"conserved hypothetical protein"
"Rv1572c"	NA	"Rv1572c"	"conserved hypothetical protein"
"Rv1573"	"MT3573.15"	"Rv1573"	"phiRV1 phage related protein"
"Rv1574"	"MT3573.14"	"Rv1574"	"phiRV1 phage related protein"
"Rv1575;Rv1575"	NA	NA	NA
"Rv1576c;Rv1576c;Rv1576c;Rv1576c"	NA	NA	NA
"Rv1577c"	NA	"Rv1577c"	"phiRV1 possible prohead protease"
"Rv1578c"	"MT3573.7"	"Rv1578c"	"phiRV1 phage related protein"
"Rv1579c"	"MT3573.6"	"Rv1579c"	"phiRV1 phage related protein"
"Rv1580c"	"MT3573.5"	"Rv1580c"	"phiRV1 phage related protein"
"Rv1581c"	NA	"Rv1581c"	"phiRV1 phage related protein"
"Rv1582c"	"MT3573.3"	"Rv1582c"	"phiRV1 phage related protein"
"Rv1583c"	NA	"Rv1583c"	"phiRV1 phage related protein"
"Rv1584c"	"MT3573.1"	"Rv1584c"	"phiRV1 phage related protein"
"Rv1585c"	"MT3573.1"	"Rv1585c"	"phiRV1 phage related protein"
"Rv1586c"	"MT3573"	"Rv1586c"	"phiRV1 integrase"
"Rv1587c"	"MT1622.1"	"Rv1587c"	"REP-family protein"
"Rv1588c"	"MT0103"	"Rv1588c"	"REP-family protein"
"Rv1589"	"MT1624"	"bioB"	"biotin synthase"
"Rv1590"	"MT1625"	"Rv1590"	"conserved hypothetical protein"
"Rv1591"	"MT1626"	"Rv1591"	"conserved hypothetical protein"
"Rv1592c"	"MT1628"	"Rv1592c"	"conserved hypothetical protein"
"Rv1593c"	"MT1629"	"Rv1593c"	"conserved hypothetical protein"
"Rv1594"	"MT1630"	"nadA"	"quinolinate synthase"
"Rv1595"	"MT1631"	"nadB"	"L-aspartate oxidase"
"Rv1596"	"MT1632"	"nadC"	"nicotinate-nucleotide pyrophosphatase"
"Rv1597"	"MT1633"	"Rv1597"	"hypothetical protein"
"Rv1598c"	"MT1634"	"Rv1598c"	"conserved hypothetical protein"
"Rv1599"	"MT1635"	"hisD"	"histidinol dehydrogenase"
"Rv1600"	"MT1636"	"hisC"	"histidinol-phosphate aminotransferase"
"Rv1601"	"MT1637"	"hisB"	"imidazole glycerol-phosphate dehydratase"
"Rv1602"	"MT1638"	"hisH"	"amidotransferase"
"Rv1603"	"MT1639"	"hisA"	"phosphoribosylformimino-5-aminoimidazole"
"Rv1604"	"MT1640"	"impA"	"impA, inositol monophosphatasemonophosphtase"
"Rv1605"	"MT1641"	"hisF"	"imidazole glycerol-phosphate synthase"
"Rv1606"	"MT1641.1"	"hisI2"	"probable phosphoribosyl-AMP 1,6 cyclohydrolase"
"Rv1607"	"MT1642"	"chaA"	"putative calcium/proton antiporter"
"Rv1608c"	"MT1643"	"bcpB"	"probable bacterioferritin comigratory protein"
"Rv1609"	"MT1644"	"trpE"	"anthranilate synthase component I"
"Rv1610"	"MT1645"	"Rv1610"	"possible membrane protein"
"Rv1611"	"MT1646"	"trpC"	"indole-3-glycerol phosphate synthase"
"Rv1612"	"MT1647"	"trpB"	"tryptophan synthase [beta] chain"
"Rv1613"	"MT1648"	"trpA"	"tryptophan synthase [alpha] chain"
"Rv1614"	"MT1649"	"lgt"	"prolipoprotein diacylglyceryl transferase"
"Rv1615"	NA	"Rv1615"	"hypothetical protein"
"Rv1616"	"MT1652"	"Rv1616"	"conserved hypothetical protein"
"Rv1617"	"MT1653"	"pykA"	"pyruvate kinase"
"Rv1618"	"MT1654"	"tesB1"	"thioesterase II"
"Rv1619"	"MT1655"	"Rv1619"	"conserved hypothetical protein"
"Rv1620c"	"MT1656"	"cydC"	"ABC transporter"
"Rv1621c"	"MT1657"	"cydD"	"ABC transporter"
"Rv1622c"	"MT1658"	"cydB"	"cytochrome d ubiquinol oxidase subunit II"
"Rv1623c"	"MT1659"	"appC"	"cytochrome bd-II oxidase subunit I"
"Rv1624c"	"MT1660"	"Rv1624c"	"possible membrane protein"
"Rv1625c"	"MT1661"	"Rv1625c"	"C-term similar eukaryotic adenylate/guanylate cyclases"
"Rv1626"	"MT1662"	"Rv1626"	"two-component response regulator"
"Rv1627c"	"MT1663"	"Rv1627c"	"lipid carrier protein"
"Rv1628c"	"MT1664"	"Rv1628c"	"conserved hypothetical protein"
"Rv1629"	"MT1665"	"polA"	"DNA polymerase I"
"Rv1630"	"MT1666"	"rpsA"	"30S ribosomal protein S1"
"Rv1631"	"MT1667"	"Rv1631"	"conserved hypothetical protein"
"Rv1632c"	"MT1668"	"Rv1632c"	"hypothetical protein"
"Rv1633"	"MT1669"	"uvrB"	"excinuclease ABC subunit B"
"Rv1634"	"MT1670"	"Rv1634"	"probable drug efflux protein"
"Rv1635c"	"MT1671"	"Rv1635c"	"unknown membrane protein"
"Rv1636"	"MT1672"	"Rv1636"	"conserved hypothetical protein"
"Rv1637c"	"MT1673"	"Rv1637c"	"conserved hypothetical protein"
"Rv1638"	"MT1675"	"uvrA"	"excinuclease ABC subunit A"
"Rv1639c"	"MT1677"	"Rv1639c"	"conserved hypothetical protein"
"Rv1640c"	NA	"lysX"	"C-term lysyl-tRNA synthase"
"Rv1641"	"MT1679"	"infC"	"initiation factor IF-3"
"Rv1642"	NA	"rpmI"	"50S ribosomal protein L35"
"Rv1643"	"MT1681"	"rplT"	"50S ribosomal protein L20"
"Rv1644"	"MT1682"	"tsnR"	"putative 23S rRNA methyltransferase"
"Rv1645c"	"MT1683"	"Rv1645c"	"conserved hypothetical protein"
"Rv1646"	"MT1684"	"PE"	"PE-family protein"
"Rv1647"	"MT1685"	"Rv1647"	"conserved hypothetical protein"
"Rv1648"	"MT1686"	"Rv1648"	"possible membrane protein"
"Rv1649"	"MT1687"	"pheS"	"phenylalanyl-tRNA synthase [alpha] subunit"
"Rv1650"	"MT1688"	"pheT"	"phenylalanyl-tRNA synthase [beta] subunit"
"Rv1651c"	"MT1689"	"PE_PGRS"	"PE_PGRS-family protein"
"Rv1652"	"MT1690"	"argC"	"N-acetyl-[gamma]-glutamyl-phosphate reductase"
"Rv1653"	NA	"argJ"	"glutamate N-acetyltransferase"
"Rv1654"	"MT1692"	"argB"	"acetylglutamate kinase"
"Rv1655"	"MT1693"	"argD"	"acetylornithine aminotransferase"
"Rv1656"	"MT1694"	"argF"	"ornithine carbamoyltransferase"
"Rv1657"	"MT1695"	"argR"	"arginine repressor"
"Rv1658"	"MT1696"	"argG"	"arginosuccinate synthase"
"Rv1659"	"MT1697"	"argH"	"arginosuccinate lyase"
"Rv1660"	"MT1698"	"pks10"	"polyketide synthase (chalcone synthase-like)"
"Rv1661"	"MT1701"	"pks7"	"polyketide synthase"
"Rv1662"	"MT1702"	"pks8"	"polyketide synthase"
"Rv1663"	"MT1703"	"pks17"	"polyketide synthase"
"Rv1664"	"MT1704"	"pks9"	"polyketide synthase"
"Rv1665"	"MT1705"	"pks11"	"polyketide synthase (chalcone synthase-like)"
"Rv1666c"	"MT1706"	"Rv1666c"	"Probable cytochrome p450"
"Rv1667c"	NA	"Rv1667c"	"Probable ABC transporter"
"Rv1668c"	"MT1707"	"Rv1668c"	"probable ABC transporter"
"Rv1669"	"MT1707.1"	"Rv1669"	"hypothetical protein"
"Rv1670"	"MT1708"	"Rv1670"	"conserved hypothetical protein"
"Rv1671"	"MT1709"	"Rv1671"	"similar to many mercuric transport proteins"
"Rv1672c"	"MT1710"	"Rv1672c"	"probable ABC transporter"
"Rv1673c"	"MT1711"	"Rv1673c"	"conserved hypothetical protein"
"Rv1674c"	"MT1712"	"Rv1674c"	"putative transcriptional regulator"
"Rv1675c"	"MT1714"	"Rv1675c"	"putative transcriptional regulator"
"Rv1676"	"MT1715"	"Rv1676"	"possible cytochrome P450"
"Rv1677"	"MT1716"	"dsbF"	"highly similar to C-term Mpt53"
"Rv1678"	"MT1718"	"Rv1678"	"probably integral membrane protein"
"Rv1679"	"MT1719"	"fadE16"	"acyl-CoA dehydrogenase"
"Rv1680"	"MT1720"	"Rv1680"	"hypothetical protein"
"Rv1681"	"MT1721"	"moeX"	"weak similarity to E. coli MoaA"
"Rv1682"	"MT1722"	"Rv1682"	"conserved hypothetical protein"
"Rv1683"	"MT1723"	"Rv1683"	"possible acyl-CoA synthase"
"Rv1684"	"MT1724"	"Rv1684"	"conserved hypothetical protein"
"Rv1685c"	"MT1725"	"Rv1685c"	"conserved hypothetical protein"
"Rv1686c"	"MT1726"	"Rv1686c"	"probable transmembrane protein"
"Rv1687c"	"MT1727"	"Rv1687c"	"probable ABC transporter"
"Rv1688"	"MT1727.1"	"Rv1688"	"probable 3-methylpurine DNA glycosylase"
"Rv1689"	"MT1728"	"tyrS"	"tyrosyl-tRNA synthase"
"Rv1690"	"MT1729"	"lprJ"	"lipoprotein"
"Rv1691"	NA	"Rv1691"	"hypothetical protein"
"Rv1692"	"MT1731"	"Rv1692"	"probable hydrolase"
"Rv1693"	"MT1732"	"Rv1693"	"hypothetical protein"
"Rv1694"	"MT1733"	"tlyA"	"cytotoxin/hemolysin homologue"
"Rv1695"	"MT1734"	"Rv1695"	"conserved hypothetical protein"
"Rv1696"	"MT1735"	"recN"	"recombination and DNA repair"
"Rv1697"	NA	"Rv1697"	"conserved hypothetical protein"
"Rv1698"	"MT1737"	"Rv1698"	"conserved hypothetical protein"
"Rv1699"	"MT1738"	"pyrG"	"CTP synthase"
"Rv1700"	"MT1739"	"Rv1700"	"conserved hypothetical protein"
"Rv1701"	"MT1740"	"Rv1701"	"integrase/recombinase"
"Rv1702c"	"MT1741"	"Rv1702c"	"REP-family protein"
"Rv1703c"	"MT1743"	"Rv1703c"	"putative methyltransferase"
"Rv1704c"	"MT1744"	"cycA"	"transport of D-alanine, D-serine and glycine"
"Rv1705c"	"MT1745"	"PPE"	"PPE-family protein"
"Rv1706c"	"MT1746"	"PPE"	"PPE-family protein"
"Rv1707"	NA	"Rv1707"	"probable sulphate permease"
"Rv1708"	"MT1749"	"Rv1708"	"possible role in chromosome partitioning"
"Rv1709"	"MT1750"	"Rv1709"	"conserved hypothetical protein"
"Rv1710"	"MT1751"	"Rv1710"	"conserved hypothetical protein"
"Rv1711"	"MT1751.1"	"Rv1711"	"conserved hypothetical protein"
"Rv1712"	"MT1752"	"cmk"	"cytidylate kinase"
"Rv1713"	"MT1753"	"Rv1713"	"conserved hypothetical protein"
"Rv1714"	NA	"Rv1714"	"Probable oxidoreductase/gluconate 3-dehydrogenase"
"Rv1715"	"MT1754"	"fadB3"	"3-hydroxyacyl-CoA dehydrogenase"
"Rv1716"	"MT1755"	"Rv1716"	"conserved hypothetical protein"
"Rv1717"	"MT1756"	"Rv1717"	"conserved hypothetical protein"
"Rv1718"	NA	"Rv1718"	"conserved hypothetical protein"
"Rv1719"	NA	"Rv1719"	"transcriptional regulator (IclR family)"
"Rv1720c"	"MT1761"	"Rv1720c"	"conserved hypothetical protein"
"Rv1721c"	"MT1762"	"Rv1721c"	"hypothetical protein"
"Rv1722"	"MT1763"	"Rv1722"	"possible biotin carboxylase"
"Rv1723"	"MT1764"	"Rv1723"	"6-aminohexanoate-dimer hydrolase"
"Rv1724c"	"MT1765"	"Rv1724c"	"hypothetical protein"
"Rv1725c"	"MT1766"	"Rv1725c"	"conserved hypothetical protein"
"Rv1726"	"MT1767"	"Rv1726"	"6-hydroxy-d-nicotine oxidase"
"Rv1727"	"MT1768"	"Rv1727"	"conserved hypothetical protein"
"Rv1728c"	"MT1769"	"Rv1728c"	"conserved hypothetical protein"
"Rv1729c"	"MT1770"	"Rv1729c"	"conserved hypothetical protein"
"Rv1730c"	"MT1771"	"Rv1730c"	"probable penicillin binding protein"
"Rv1731"	"MT1772"	"gabD1"	"succinate-semialdehyde dehydrogenase"
"Rv1732c"	"MT1773"	"Rv1732c"	"conserved hypothetical protein"
"Rv1733c"	"MT1774"	"Rv1733c"	"possible membrane protein"
"Rv1734c"	NA	"Rv1734c"	"hypothetical protein"
"Rv1735c"	"MT1776"	"Rv1735c"	"hypothetical protein"
"Rv1736c"	"MT1778"	"narX"	"fused nitrate reductase"
"Rv1737c"	"MT1779"	"narK2"	"nitrite extrusion protein"
"Rv1738"	"MT1780"	"Rv1738"	"conserved hypothetical protein"
"Rv1739c"	"MT1781"	"Rv1739c"	"possible sulphate transporter"
"Rv1740"	"MT1782"	"Rv1740"	"conserved hypothetical protein"
"Rv1741"	NA	"Rv1741"	"conserved hypothetical protein"
"Rv1742"	"MT1784"	"Rv1742"	"hypothetical protein"
"Rv1743"	"MT1785"	"pknE"	"serine-threonine protein kinase"
"Rv1744c"	"MT1786"	"Rv1744c"	"hypothetical protein"
"Rv1745c"	"MT1787"	"Rv1745c"	"conserved hypothetical protein"
"Rv1746"	"MT1788"	"pknF"	"serine-threonine protein kinase"
"Rv1747"	NA	"Rv1747"	"ABC transporter"
"Rv1748"	"MT1791"	"Rv1748"	"hypothetical protein"
"Rv1749c"	"MT1792"	"Rv1749c"	"possible integral membrane protein"
"Rv1750c"	"MT1793"	"fadD1"	"acyl-CoA synthase"
"Rv1751"	"MT1794"	"Rv1751"	"possible hydroxylasehyroxylase"
"Rv1752"	"MT1795"	"Rv1752"	"hypothetical protein"
"Rv1753c;Rv1753c"	NA	NA	NA
"Rv1754c"	NA	"Rv1754c"	"conserved hypothetical protein"
"Rv1755c"	"MT1799"	"plcD"	"partial CDS for phospholipase C"
"Rv1756c"	"MT2881"	"Rv1756c"	"possible IS6110 transposase"
"Rv1757c"	NA	"Rv1757c"	"possible IS6110 transposase"
"Rv1758"	"MT1805"	"Rv1758"	"partial cutinase"
"Rv1759c"	"MT1807"	"PE_PGRS(wag22)"	"PE_PGRS-family protein"
"Rv1760"	"MT1809"	"Rv1760"	"conserved hypothetical protein"
"Rv1761c"	"MT1810"	"Rv1761c"	"hypothetical protein"
"Rv1762c"	"MT1811"	"Rv1762c"	"hypothetical protein"
"Rv1763"	NA	"Rv1763"	"possible IS6110 transposase"
"Rv1764"	"MT2881"	"Rv1764"	"possible IS6110 transposase"
"Rv1765c"	"MT1814"	"Rv1765c"	"conserved hypothetical protein"
"Rv1766"	"MT1816"	"Rv1766"	"conserved hypothetical protein"
"Rv1767"	NA	"Rv1767"	"conserved hypothetical protein"
"Rv1768"	"MT1818"	"PE_PGRS"	"PE_PGRS-family protein"
"Rv1769"	"MT1820"	"Rv1769"	"hypothetical protein"
"Rv1770"	"MT1820.1"	"Rv1770"	"conserved hypothetical protein"
"Rv1771"	"MT1821"	"Rv1771"	"oxidoreductase, possible"
"Rv1772"	NA	"Rv1772"	"hypothetical protein"
"Rv1773c"	"MT1823"	"Rv1773c"	"transcriptional regulator (IclR family)"
"Rv1774"	"MT1824"	"Rv1774"	"putative oxidoreductase with FAD-binding site"
"Rv1775"	"MT1825"	"Rv1775"	"conserved hypothetical protein"
"Rv1776c"	"MT1826"	"Rv1776c"	"putative transcriptional regulator"
"Rv1777"	"MT1827"	"Rv1777"	"probable cytochrome p450"
"Rv1778c"	"MT1828"	"Rv1778c"	"hypothetical protein"
"Rv1779c"	"MT1829"	"Rv1779c"	"possible integral membrane protein"
"Rv1780"	"MT1830"	"Rv1780"	"conserved hypothetical protein"
"Rv1781c"	"MT1831"	"Rv1781c"	"probable 4-[alpha]-glucanotransferase"
"Rv1782"	NA	"Rv1782"	"conserved hypothetical protein"
"Rv1783"	"MT1833"	"Rv1783"	"conserved hypothetical protein"
"Rv1784"	"MT1833"	"Rv1784"	"conserved hypothetical protein"
"Rv1785c"	"MT1834"	"Rv1785c"	"Probable member of the cytochrome P450"
"Rv1786"	"MT1835"	"Rv1786"	"Probable ferredoxin"
"Rv1787"	"MT1836"	"PPE"	"PPE-family protein"
"Rv1788"	"MT1837"	"PE"	"PE-family protein"
"Rv1789"	"MT1838"	"PPE"	"PPE-family protein"
"Rv1790"	"MT1839"	"PPE"	"PPE-family protein"
"Rv1791"	"MT1840"	"PE"	"PE-family protein"
"Rv1792"	NA	"Rv1792"	"conserved hypothetical protein"
"Rv1793"	"MT2411"	"Rv1793"	"conserved hypothetical protein"
"Rv1794"	NA	"Rv1794"	"conserved hypothetical protein"
"Rv1795"	"MT1844"	"Rv1795"	"probable membrane protein"
"Rv1796"	"MT1845"	"Rv1796"	"conserved hypothetical protein"
"Rv1797"	"MT1846"	"Rv1797"	"conserved hypothetical protein"
"Rv1798"	"MT1847"	"Rv1798"	"conserved hypothetical protein"
"Rv1799"	"MT1848"	"lppT"	"probable lipoprotein"
"Rv1800"	"MT1849"	"PPE"	"PPE-family protein"
"Rv1801"	"MT1850"	"PPE"	"PPE-family protein"
"Rv1802"	"MT1851"	"PPE"	"PPE-family protein"
